coin,symbol,positive_events,control_events,bars,positive_rows,control_rows,status
BTC,BTC/USDT,8957,8865,8650,8898,2804,ready
ETH,ETH/USDT,320,320,8650,313,309,ready
XRP,XRP/BTC,480,480,6805,410,328,ready
ADA,ADA/BTC,504,504,6128,471,303,ready
ETC,ETC/BTC,427,427,7307,406,373,ready
TRX,TRX/BTC,369,369,6856,367,355,ready
OMG,OMG/BTC,338,338,8032,317,296,ready
LSK,LSK/BTC,372,372,6323,295,299,ready
XLM,XLM/BTC,301,301,5942,210,215,ready
BAT,BAT/BTC,298,298,6537,253,250,ready
ZRX,ZRX/BTC,117,117,8008,116,117,ready
LTC,LTC/BTC,236,236,9466,236,233,ready
DASH,DASH/BTC,167,167,7120,159,161,ready
NEO,NEO/BTC,415,415,9466,412,407,ready
XEM,XEM/BTC,283,283,3523,135,123,ready
SC,SC/BTC,425,425,1459,32,46,ready
DGB,DGB/BTC,378,378,0,0,0,no_provider_bars
STORJ,STORJ/BTC,329,329,6779,304,298,ready
WAVES,WAVES/BTC,340,340,5768,201,232,ready
