requirement,status,evidence,notes
Named board file inspected and concurrent board preserved,pass,board sha256 before audit f54776226e3658b7e415dd362877897b4553930193053860169bd4c88ca653b6; git status captured; append-only artifact root created,No source roots or runtime code mutated by this audit.
Every active regime reaches calibrated >=95% confidence,blocked,No new accepted regime-confidence packet; source/control roots missing; direct verifier blocked,AutoQuant strategy metrics do not satisfy per-regime calibrated confidence.
Each accepted regime has its own qualifying condition,blocked,No accepted rows added; direct owner-export verifier missing required files,No regime accepted in this slice.
"Validate across other markets, cycles, and timeframes",blocked,R3 native subhour root absent; R5 recency extension root absent; owner/export controls absent,"Existing local triplets are stale/non-promoting sidecars, not required cross-axis source roots."
"Operate provider paths including IBKR, TradingViewRemix, yfinance, Kraken",partial,"provider summary entry_model:2/2 ready | live_runtime:1/3 ready | local_runtime:1/2 ready | market_data:1/7 ready; provider subset {'yfinance': {'ready': True, 'status': 'ready', 'reason': 'public_yahoo_http_endpoints', 'domain': 'market_data'}, 'ibkr_bridge': {'ready': False, 'status': 'configured_runtime_unhealthy', 'reason': 'ibkr_bridge_runtime_dependencies_missing_with_gateway_reachable', 'domain': 'local_runtime'}, 'kraken_cli': {'ready': True, 'status': 'ready', 'reason': 'kraken_cli_config_detected', 'domain': 'local_runtime'}, 'ibkr': {'ready': False, 'status': 'configured_runtime_unhealthy', 'reason': 'ibkr_runtime_dependencies_missing_with_gateway_reachable', 'domain': 'market_data'}, 'kraken_public': {'ready': False, 'status': 'configured_runtime_unhealthy', 'reason': 'python3_provider_dependencies_missing', 'domain': 'market_data'}, 'tradingview_mcp': {'ready': False, 'status': 'configured_runtime_unhealthy', 'reason': 'tradingview_mcp_connectivity_probe_failed', 'domain': 'market_data'}}",yfinance and kraken_cli ready; IBKR dependencies unhealthy; TradingView/Remix not advanced by this audit.
Operate Auto-Quant locally,partial,autoquant status dependency_ready_data_ready healthy=True data_ready=True,"Prepared seeded runtime exists, but Board A promotion remains source/control blocked."
Run filter / Pre-Bayes / BBN layer after source/control unlock,blocked,pre-bayes latest_policy=None latest_soft_evidence=None,No latest policy or soft evidence; source/control unlock absent.
Run CatBoost/path-ranking layer after source/control unlock,blocked,"entry model matched_rows=[0, 0]; ranker=Ranker runtime: structural path ranking target export missing runtime_selection=disabled runtime_source=none runtime_matches=0",matched_rows=0 and structural path ranking runtime disabled.
Run execution tree / workflow readback after source/control unlock,blocked,workflow actionable_artifacts=0; closed_loop_ready=False status=fail_closed,Workflow remains fail-closed / not actionable.
Do not use proxy signals as completion,pass,Local triplets found but classified non-promoting; AutoQuant seeded run counted only as runtime diagnostic,No proxy promoted into acceptance.
Do not disturb other agents construction,pass,034813 was read but not modified; this audit used a new root and will append only after hash recheck,"Candidate triplets were inspected, not copied into target root."
