requirement,evidence,status,decision
every_active_regime_95_confidence,Board A current cursor and latest supplemental sections,not_achieved,no_new_accepted_rows
cross_market_timeframe_period_validation,111602 TVR readback and 111538 IBKR spotcheck,not_achieved,provider_layer_only_no_accepted_regime_packet
six_provider_same_root_aq_matrix,105637/111108/111309 plus 111602 and 111538,not_achieved,tvr_and_ibkr_not_in_same_aq_root
auto_quant_provider_provenance,105637 provider-linked AQ and 111108/111309 materialized downstream,partial_fail_closed,yf_kraken_binance_bybit_only_negative_low_support
pre_bayes_filter,111108/111309/111403 pre-bayes outputs,not_achieved,no_policy_no_bridge_no_soft_evidence
bbn,111108/111309/111403 state roots,partial_fail_closed,bbn_written_but_no_promotable_chain
catboost_path_ranker,111309 policy status and 111403 report,not_achieved,mature_or_scored_rows_below_floor_runtime_disabled
execution_tree,111108/111309/111403 workflow outputs,not_achieved,fail_closed_ready_false_actionable_false
local_data_not_substitute,Board A/B authority correction headers,pass_audit_guard,local_cache_replay_sidecar_only
update_goal,all inspected evidence,not_authorized,objective_not_complete
