base_symbol,comparison_symbol,relationship_type,relationship_confidence,timeframe,session,event_time,smt_signal,base_swing_type,base_level,comparison_swing_type,comparison_level,swept_side,normalized_for_inverse_correlation,raw_comparison_swing_type,raw_comparison_level,same_event_window_confirmed,near_pd_array,pd_array_type,mss_or_cisd_confirmed,displacement_confirmed,regime_bucket,actionable,semantic_gate_passed,semantic_fail_reason
NQ,ES,positive,0.8692,5m,NY_AM,2026-05-07T18:25:00+00:00,bullish_smt,LL,28642.5,HL,7358.75,sell_side_liquidity,False,HL,7358.75,True,False,none,False,False,transition,False,True,n/a
NQ,ES,positive,0.8692,5m,NY_AM,2026-05-08T19:15:00+00:00,bearish_smt,HH,29306.0,LH,7418.75,buy_side_liquidity,False,LH,7418.75,True,False,none,False,False,transition,False,True,n/a
NQ,ES,positive,0.8692,5m,NY_AM,2026-05-11T05:45:00+00:00,bullish_smt,LL,29317.5,HL,7410.25,sell_side_liquidity,False,HL,7410.25,True,False,none,False,False,range,False,True,n/a
NQ,ES,positive,0.8692,5m,NY_AM,2026-05-11T14:30:00+00:00,bullish_smt,LL,29246.75,HL,7421.5,sell_side_liquidity,False,HL,7421.5,True,False,none,False,False,range,False,True,n/a
NQ,YM,positive,0.0,5m,NY_AM,,none,n/a,,n/a,,none,False,,,False,False,none,False,False,other,False,False,no_same_event_smt_confirmation_failure
EURUSD,GBPUSD,positive,0.7889,15m,London_NY_overlap,2026-05-06T07:30:00+00:00,bullish_smt,LL,1.1728830337524414,HL,1.3584741353988647,sell_side_liquidity,False,HL,1.3584741353988647,True,False,none,False,False,range,False,True,n/a
EURUSD,GBPUSD,positive,0.7889,15m,London_NY_overlap,2026-05-11T21:15:00+00:00,bearish_smt,HH,1.1791062355041504,LH,1.3618041276931763,buy_side_liquidity,False,LH,1.3618041276931763,True,False,none,False,False,range,False,True,n/a
EURUSD,GBPUSD,positive,0.7889,15m,London_NY_overlap,2026-05-12T11:00:00+00:00,bullish_smt,LL,1.17384672164917,HL,1.3523565530776978,sell_side_liquidity,False,HL,1.3523565530776978,True,False,none,False,False,transition,False,True,n/a
EURUSD,DXY,negative,0.0,15m,London_NY_overlap,,none,n/a,,n/a,,none,True,,,False,False,none,False,False,other,False,False,no_same_event_smt_confirmation_failure
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,2026-05-08T07:15:00+00:00,bullish_smt,LL,4706.2001953125,HL,79.86000061035156,sell_side_liquidity,False,HL,79.86000061035156,True,False,none,False,False,range,False,True,n/a
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,2026-05-08T12:30:00+00:00,bullish_smt,LL,4709.60009765625,HL,80.90499877929688,sell_side_liquidity,False,HL,80.90499877929688,True,False,none,False,False,transition,False,True,n/a
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,2026-05-11T00:45:00+00:00,bullish_smt,LL,4678.39990234375,HL,80.05500030517578,sell_side_liquidity,False,HL,80.05500030517578,True,False,none,False,False,transition,False,True,n/a
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,2026-05-11T04:30:00+00:00,bullish_smt,LL,4675.89990234375,HL,80.75,sell_side_liquidity,False,HL,80.75,True,False,none,False,False,transition,False,True,n/a
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,2026-05-11T16:30:00+00:00,bullish_smt,LL,4716.7998046875,HL,85.7300033569336,sell_side_liquidity,False,HL,85.7300033569336,True,False,none,False,False,trend,False,True,n/a
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,2026-05-12T03:45:00+00:00,bullish_smt,LL,4726.7998046875,HL,86.56500244140625,sell_side_liquidity,False,HL,86.56500244140625,True,False,none,False,False,range,False,True,n/a
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,2026-05-12T10:00:00+00:00,bearish_smt,HH,4716.7001953125,LH,85.1449966430664,buy_side_liquidity,False,LH,85.1449966430664,True,False,none,False,False,transition,False,True,n/a
XAUUSD,DXY,negative,0.0,15m,NY_AM,,none,n/a,,n/a,,none,True,,,False,False,none,False,False,other,False,False,no_same_event_smt_confirmation_failure
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-03-15T17:00:00+00:00,bearish_smt,HH,71987.2890625,LH,2117.396728515625,buy_side_liquidity,False,LH,2117.396728515625,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-03-17T10:00:00+00:00,bullish_smt,LL,73614.75,HL,2307.620361328125,sell_side_liquidity,False,HL,2307.620361328125,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-03-19T21:00:00+00:00,bearish_smt,HH,70695.4375,LH,2156.0771484375,buy_side_liquidity,False,LH,2156.0771484375,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-03-20T04:00:00+00:00,bearish_smt,HH,70939.7734375,LH,2158.4345703125,buy_side_liquidity,False,LH,2158.4345703125,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-03-27T04:00:00+00:00,bullish_smt,LL,68269.15625,HL,2043.33984375,sell_side_liquidity,False,HL,2043.33984375,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-03-27T18:00:00+00:00,bullish_smt,LL,65539.1875,HL,1973.5860595703125,sell_side_liquidity,False,HL,1973.5860595703125,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-03-29T03:00:00+00:00,bearish_smt,HH,67000.8125,LH,2015.5404052734375,buy_side_liquidity,False,LH,2015.5404052734375,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-04-01T13:00:00+00:00,bullish_smt,LL,67969.1171875,HL,2110.518310546875,sell_side_liquidity,False,HL,2110.518310546875,True,False,none,False,False,transition,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-04-02T00:00:00+00:00,bearish_smt,HH,68633.1484375,LH,2158.142822265625,buy_side_liquidity,False,LH,2158.142822265625,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-04-07T02:00:00+00:00,bullish_smt,LL,68286.8046875,HL,2094.010009765625,sell_side_liquidity,False,HL,2094.010009765625,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-04-08T09:00:00+00:00,bearish_smt,HH,71932.7578125,LH,2261.873779296875,buy_side_liquidity,False,LH,2261.873779296875,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-04-08T14:00:00+00:00,bullish_smt,LL,70754.125,HL,2189.805419921875,sell_side_liquidity,False,HL,2189.805419921875,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-04-10T00:00:00+00:00,bullish_smt,LL,71609.296875,HL,2179.488037109375,sell_side_liquidity,False,HL,2179.488037109375,True,False,none,False,False,range,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-04-11T13:00:00+00:00,bullish_smt,LL,72594.53125,HL,2235.64404296875,sell_side_liquidity,False,HL,2235.64404296875,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-04-12T23:00:00+00:00,bullish_smt,LL,70581.140625,HL,2184.7685546875,sell_side_liquidity,False,HL,2184.7685546875,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-04-15T22:00:00+00:00,bearish_smt,HH,75400.0,LH,2380.320068359375,buy_side_liquidity,False,LH,2380.320068359375,True,False,none,False,False,transition,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-04-19T13:00:00+00:00,bearish_smt,HH,76257.0703125,LH,2350.419921875,buy_side_liquidity,False,LH,2350.419921875,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-04-20T14:00:00+00:00,bearish_smt,HH,75765.2109375,LH,2326.889892578125,buy_side_liquidity,False,LH,2326.889892578125,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-04-24T09:00:00+00:00,bullish_smt,LL,77436.0,HL,2305.080078125,sell_side_liquidity,False,HL,2305.080078125,True,False,none,False,False,transition,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-04-24T22:00:00+00:00,bullish_smt,LL,77306.0625,HL,2308.219970703125,sell_side_liquidity,False,HL,2308.219970703125,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-04-26T12:00:00+00:00,bullish_smt,LL,77787.9375,HL,2326.22998046875,sell_side_liquidity,False,HL,2326.22998046875,True,False,none,False,False,transition,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-04-27T19:00:00+00:00,bullish_smt,LL,76464.78125,HL,2275.409912109375,sell_side_liquidity,False,HL,2275.409912109375,True,False,none,False,False,transition,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-05-01T08:00:00+00:00,bearish_smt,HH,77489.828125,LH,2288.780029296875,buy_side_liquidity,False,LH,2288.780029296875,True,False,none,False,False,transition,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-05-04T17:00:00+00:00,bearish_smt,HH,80740.4375,LH,2379.6201171875,buy_side_liquidity,False,LH,2379.6201171875,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-05-05T21:00:00+00:00,bearish_smt,HH,81770.453125,LH,2388.159912109375,buy_side_liquidity,False,LH,2388.159912109375,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-05-07T10:00:00+00:00,bullish_smt,LL,80564.140625,HL,2316.949951171875,sell_side_liquidity,False,HL,2316.949951171875,True,False,none,False,False,range,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-05-08T22:00:00+00:00,bearish_smt,HH,80418.7890625,LH,2318.669921875,buy_side_liquidity,False,LH,2318.669921875,True,False,none,False,False,trend,False,True,n/a
BTC,ETH,positive,0.9033,1h,crypto_24x7,2026-05-11T12:00:00+00:00,bearish_smt,HH,81337.328125,LH,2339.27001953125,buy_side_liquidity,False,LH,2339.27001953125,True,False,none,False,False,transition,False,True,n/a
